Image,Offer,Link,Credit Card
,,,
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,FIRST EARN RuPay Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,Ashva Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,Mayura Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Power+ Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC FIRST SWYP Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Bank First Wow Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Bank First Private Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Power Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC Bank IDFC First Wealth Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Select Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC Bank First Classic Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC Bank First Millennia Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,
https://images.ixigo.com/image/upload/f_auto/img/29e81c8131d6063db302f0edf247aecf-rmjzr.png,HOTEL CCSTAY WEB,https://www.ixigo.com/offers/ccstay,ixigo AU Credit Card
,,,
,,,
,,,
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Wave Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank AmpliFi Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank MagniFi Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Visa Imperio
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Visa Celesta
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Scapia Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Rupay Signet Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Mastercard Signet
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI HPCL Coral Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Parakram Select Credit Card
