Offer Title,Coupon Code,Expiry Date,Offer Image,Offer Link,Credit Card
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Sapphiro
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Emeralde
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Times Black
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Coral Visa
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Parakram Select
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Manchester United Signature
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Parakram
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Chennai Super Kings ICICI Bank
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Coral RuPay
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Manchester United Platinum
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Platinum Chip
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Expressions
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Adani One ICICI Signature
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Rubyx Visa
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Adani One ICICI Platinum
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Rubyx RuPay
"Up to 45% OFF (up to Rs.6,000)",YRICICICC,27-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/8f73284bb9e19229dcde96b044770784.jpg,https://www.yatra.com/offer/details/icici-bank-credit-card-offers,MakeMyTrip ICICI Bank Signature
